Time 	2017-01-26T01:04:15Z
Location 	Longitude	9.9905
	Latitude 	0
Data 	Index 	0
	Pressure	1000
	Precision 	-5e-07
	Value 	9.30107e-08
	Index 	1
	Pressure	681.292
	Precision 	-5e-07
	Value 	1.06757e-07
	Index 	2
	Pressure	464.159
	Precision 	-5e-07
	Value 	1.03534e-07
	Index 	3
	Pressure	316.228
	Precision 	4.80911e-08
	Value 	2.10236e-07
	Index 	4
	Pressure	215.443
	Precision 	2.24709e-08
	Value 	1.63923e-07
	Index 	5
	Pressure	146.78
	Precision 	1.38396e-08
	Value 	1.09999e-07
	Index 	6
	Pressure	100
	Precision 	1.18117e-08
	Value 	6.71805e-08
	Index 	7
	Pressure	68.1292
	Precision 	1.03108e-08
	Value 	3.10296e-08
	Index 	8
	Pressure	46.4159
	Precision 	8.7691e-09
	Value 	2.39197e-09
	Index 	9
	Pressure	31.6228
	Precision 	9.02896e-09
	Value 	1.91349e-09
	Index 	10
	Pressure	21.5443
	Precision 	9.88649e-09
	Value 	-6.23657e-09
	Index 	11
	Pressure	14.678
	Precision 	1.24708e-08
	Value 	5.09731e-10
	Index 	12
	Pressure	10
	Precision 	1.54167e-08
	Value 	3.44065e-08
	Index 	13
	Pressure	6.81292
	Precision 	2.19186e-08
	Value 	3.07192e-08
	Index 	14
	Pressure	4.64159
	Precision 	2.92835e-08
	Value 	9.36588e-09
	Index 	15
	Pressure	3.16228
	Precision 	3.893e-08
	Value 	2.65051e-08
	Index 	16
	Pressure	2.15443
	Precision 	5.47071e-08
	Value 	4.82175e-08
	Index 	17
	Pressure	1.4678
	Precision 	7.26603e-08
	Value 	2.17018e-09
	Index 	18
	Pressure	1
	Precision 	9.71392e-08
	Value 	7.53877e-08
	Index 	19
	Pressure	0.681292
	Precision 	1.45853e-07
	Value 	5.00995e-08
	Index 	20
	Pressure	0.464159
	Precision 	2.07418e-07
	Value 	9.33544e-08
	Index 	21
	Pressure	0.316228
	Precision 	2.92313e-07
	Value 	8.76218e-08
	Index 	22
	Pressure	0.215443
	Precision 	4.32287e-07
	Value 	-3.8233e-07
	Index 	23
	Pressure	0.14678
	Precision 	6.32981e-07
	Value 	1.38741e-06
	Index 	24
	Pressure	0.1
	Precision 	7.143e-07
	Value 	-2.19459e-07
	Index 	25
	Pressure	0.0464159
	Precision 	1.01995e-06
	Value 	1.56478e-06
	Index 	26
	Pressure	0.0215443
	Precision 	1.82789e-06
	Value 	2.51745e-06
	Index 	27
	Pressure	0.01
	Precision 	3.61352e-06
	Value 	2.05046e-06
	Index 	28
	Pressure	0.00464159
	Precision 	6.45119e-06
	Value 	9.80973e-06
	Index 	29
	Pressure	0.00215443
	Precision 	-1.01854e-05
	Value 	1.37212e-05
	Index 	30
	Pressure	0.001
	Precision 	-1.55214e-05
	Value 	2.19847e-05
	Index 	31
	Pressure	0.000464159
	Precision 	-2e-05
	Value 	1.22496e-05
	Index 	32
	Pressure	0.000215443
	Precision 	-2e-05
	Value 	1.22496e-05
	Index 	33
	Pressure	0.0001
	Precision 	-2e-05
	Value 	1.22496e-05
	Index 	34
	Pressure	4.64159e-05
	Precision 	-2e-05
	Value 	1.22496e-05
	Index 	35
	Pressure	2.15443e-05
	Precision 	-2e-05
	Value 	1.22496e-05
	Index 	36
	Pressure	1e-05
	Precision 	-2e-05
	Value 	1.22496e-05
